food_item,calories_(kcal),protein_(g),carbohydrates_(g),fat_(g)
Eggs,173,42.4,83.7,1.5
Apple,66,39.2,13.8,3.2
Chicken Breast,226,27.1,79.1,25.8
Banana,116,43.4,47.1,16.1
Banana,500,33.9,75.8,47.0
Oats,387,31.2,6.8,39.5
Carrot,138,28.2,12.4,20.2
Cookies,69,36.8,17.8,15.0
Apple,568,6.7,7.0,23.4
Quinoa,204,19.3,62.7,31.8
Oats,108,40.6,13.9,12.2
Tomato,117,34.4,21.0,10.1
Orange Juice,147,20.1,32.7,8.9
Cookies,468,23.7,89.2,3.1
Beef Steak,157,27.5,32.4,9.4
Pork Chop,385,15.8,36.5,33.1
Oats,297,36.3,76.4,24.9
Grapes,274,42.4,54.5,45.2
Milkshake,353,24.0,96.2,6.8
Eggs,569,4.3,23.2,31.9
Pasta,217,28.1,8.3,38.9
Oats,492,32.8,45.9,27.5
Orange,222,21.1,85.0,45.1
Pasta,335,38.0,64.7,39.1
Nuts,552,25.9,27.4,39.2
Cheese,252,18.0,24.9,31.0
Strawberry,141,19.0,93.3,11.8
Oats,336,43.1,56.8,21.9
Butter,315,37.8,25.5,15.6
Orange Juice,553,44.1,25.7,21.9
Quinoa,496,18.1,24.9,16.5
Rice,142,14.6,21.9,41.4
Oats,71,4.0,62.8,42.7
Strawberry,595,32.5,23.8,35.1
Orange,165,7.7,35.0,44.2
Yogurt,568,27.5,63.4,25.4
Butter,437,41.2,71.7,6.0
Quinoa,195,45.0,40.9,31.6
Beef Steak,71,33.4,70.0,27.3
Apple,271,13.7,89.5,33.8
Cheese,353,34.1,87.5,47.0
Broccoli,219,32.6,49.5,30.3
Water,171,47.4,80.3,10.1
Beef Steak,539,43.1,35.6,15.6
Beef Steak,86,48.7,52.9,9.3
Paneer,173,22.1,59.4,30.1
Cheese,359,31.6,30.8,13.3
Salmon,508,5.3,70.4,40.3
Grapes,294,21.6,97.9,23.5
Yogurt,315,4.7,23.6,7.5
Nuts,191,28.8,39.6,40.3
Apple,485,49.2,81.2,5.8
Milk,282,30.3,69.7,21.5
